entity_column,metric,raw,baseline,dr
Source,P1_IETD_W1_days,0.017578,0.000292,60.137031
Source,P1_AutocorrGap,0.002756,0.003068,0.898295
Source,P2_ActiveLifetime_W1,520.586226,22.473735,23.164206
Source,P2_BurstLen_W1_1d,807.342690,21.901415,36.862581
Source,P2_BurstLen_W1_3d,1386.895416,108.302099,12.805804
Source,P2_BurstLen_W1_7d,3801.975985,209.257347,18.168901
Source,P2_JELineBurst_W1,7.060903,0.015594,452.795951
Source,P3_Fanout_W1_CostCenter,2.472348,0.250143,9.883756
Source,P3_Fanout_W1_GLAccount,1.601391,0.120478,13.292013
Source,P3_Fanout_W1_ProfitCenter,3.418108,0.307349,11.121252
Source,P3_Fanout_W1_TradingPartner,0.000000,0.574212,0.000000
Source,P3_ClusteringGap,0.239240,0.006529,36.645221
Source,P3_TriangleLogRatio,4.875197,0.105774,46.090847
Source,P4_MeanGap,0.295833,0.065613,4.508785
TradingPartner,P1_IETD_W1_days,0.000000,0.000000,0.000000
TradingPartner,P1_AutocorrGap,0.135589,0.015598,8.692715
TradingPartner,P2_ActiveLifetime_W1,0.000000,15.472267,0.000000
TradingPartner,P2_BurstLen_W1_1d,0.000000,56.941181,0.000000
TradingPartner,P2_BurstLen_W1_3d,0.000000,39.989197,0.000000
TradingPartner,P2_BurstLen_W1_7d,0.000000,56.230674,0.000000
TradingPartner,P2_JELineBurst_W1,7.060903,0.015594,452.795951
TradingPartner,P3_Fanout_W1_CostCenter,0.000000,0.153373,0.000000
TradingPartner,P3_Fanout_W1_GLAccount,0.000000,0.091222,0.000000
TradingPartner,P3_Fanout_W1_ProfitCenter,0.000000,0.228857,0.000000
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000
TradingPartner,P3_ClusteringGap,0.983098,0.008237,119.353805
TradingPartner,P3_TriangleLogRatio,8.973605,0.025989,345.283979
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000
