entity_column,metric,raw,baseline,dr
Source,P1_IETD_W1_days,0.111328,0.000292,380.867863
Source,P1_AutocorrGap,0.007419,0.003068,2.418588
Source,P2_ActiveLifetime_W1,336.357191,22.473735,14.966679
Source,P2_BurstLen_W1_1d,920.820449,21.901415,42.043880
Source,P2_BurstLen_W1_3d,1739.679915,108.302099,16.063215
Source,P2_BurstLen_W1_7d,4071.772500,209.257347,19.458206
Source,P2_JELineBurst_W1,2.625995,0.015594,168.397701
Source,P3_Fanout_W1_CostCenter,2.187201,0.250143,8.743816
Source,P3_Fanout_W1_GLAccount,0.593671,0.120478,4.927642
Source,P3_Fanout_W1_ProfitCenter,8.308956,0.307349,27.034253
Source,P3_Fanout_W1_TradingPartner,3.868519,0.574212,6.737091
Source,P3_ClusteringGap,0.229164,0.006529,35.101911
Source,P3_TriangleLogRatio,1.792014,0.105774,16.941968
Source,P4_MeanGap,0.252500,0.065613,3.848343
TradingPartner,P1_IETD_W1_days,0.663646,0.000000,663646221.160889
TradingPartner,P1_AutocorrGap,0.120572,0.015598,7.729922
TradingPartner,P2_ActiveLifetime_W1,304.877042,15.472267,19.704743
TradingPartner,P2_BurstLen_W1_1d,456.683427,56.941181,8.020266
TradingPartner,P2_BurstLen_W1_3d,758.230246,39.989197,18.960877
TradingPartner,P2_BurstLen_W1_7d,2064.593583,56.230674,36.716501
TradingPartner,P2_JELineBurst_W1,2.625995,0.015594,168.397701
TradingPartner,P3_Fanout_W1_CostCenter,1.299780,0.153373,8.474623
TradingPartner,P3_Fanout_W1_GLAccount,1.140102,0.091222,12.498134
TradingPartner,P3_Fanout_W1_ProfitCenter,4.129457,0.228857,18.043830
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000
TradingPartner,P3_ClusteringGap,0.160555,0.008237,19.492285
TradingPartner,P3_TriangleLogRatio,1.914038,0.025989,73.647831
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000
