entity_column,metric,raw,baseline,dr,is_degenerate_baseline
Source,P1_IETD_W1_days,0.102488,0.000292,350.623165,false
Source,P1_AutocorrGap,0.005492,0.003068,1.790444,false
Source,P2_ActiveLifetime_W1,336.988890,22.473735,14.994788,false
Source,P2_BurstLen_W1_1d,914.906203,21.901415,41.773840,false
Source,P2_BurstLen_W1_3d,1731.884670,108.302099,15.991238,false
Source,P2_BurstLen_W1_7d,4205.977656,209.257347,20.099546,false
Source,P2_JELineBurst_W1,2.213418,0.015594,141.940311,false
Source,P3_Fanout_W1_CostCenter,1.660269,0.250143,6.637292,false
Source,P3_Fanout_W1_GLAccount,0.538340,0.120478,4.468376,false
Source,P3_Fanout_W1_ProfitCenter,2.544749,0.307349,8.279668,false
Source,P3_Fanout_W1_TradingPartner,3.850066,0.574212,6.704954,false
Source,P3_ClusteringGap,0.219210,0.006529,33.577222,false
Source,P3_TriangleLogRatio,1.311423,0.105774,12.398387,false
Source,P4_MeanGap,0.260577,0.065613,3.971443,false
TradingPartner,P1_IETD_W1_days,0.338364,0.000000,100.000000,true
TradingPartner,P1_AutocorrGap,0.016333,0.015598,1.047144,false
TradingPartner,P2_ActiveLifetime_W1,313.257811,15.472267,20.246407,false
TradingPartner,P2_BurstLen_W1_1d,439.927915,56.941181,7.726006,false
TradingPartner,P2_BurstLen_W1_3d,734.742238,39.989197,18.373518,false
TradingPartner,P2_BurstLen_W1_7d,2027.349334,56.230674,36.054153,false
TradingPartner,P2_JELineBurst_W1,2.213418,0.015594,141.940311,false
TradingPartner,P3_Fanout_W1_CostCenter,2.179211,0.153373,14.208549,false
TradingPartner,P3_Fanout_W1_GLAccount,2.247900,0.091222,24.642134,false
TradingPartner,P3_Fanout_W1_ProfitCenter,4.235679,0.228857,18.507968,false
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true
TradingPartner,P3_ClusteringGap,0.136611,0.008237,16.585351,false
TradingPartner,P3_TriangleLogRatio,1.972295,0.025989,75.889439,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true
