entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.005859,0.000292,20.045677,false,true
Source,P1_AutocorrGap,0.025265,0.003068,8.236342,false,false
Source,P2_ActiveLifetime_W1,335.048892,22.473735,14.908465,false,false
Source,P2_BurstLen_W1_1d,470.510968,21.901415,21.483131,false,false
Source,P2_BurstLen_W1_3d,1638.497486,108.302099,15.128954,false,false
Source,P2_BurstLen_W1_7d,17194.819760,209.257347,82.170686,false,true
Source,P2_JELineBurst_W1,2.454660,0.015594,157.410513,false,false
Source,P3_Fanout_W1_CostCenter,1.562706,0.250143,6.247261,false,true
Source,P3_Fanout_W1_GLAccount,1.250418,0.120478,10.378833,false,true
Source,P3_Fanout_W1_ProfitCenter,2.786803,0.307349,9.067221,false,true
Source,P3_Fanout_W1_TradingPartner,3.503329,0.574212,6.101107,false,true
Source,P3_ClusteringGap,0.239240,0.006529,36.645221,false,false
Source,P3_TriangleLogRatio,1.256464,0.105774,11.878798,false,false
Source,P4_MeanGap,0.245192,0.065613,3.736967,false,false
TradingPartner,P1_IETD_W1_days,0.024362,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.019399,0.015598,1.243704,false,false
TradingPartner,P2_ActiveLifetime_W1,299.323781,15.472267,19.345826,false,false
TradingPartner,P2_BurstLen_W1_1d,324.769107,56.941181,5.703589,false,false
TradingPartner,P2_BurstLen_W1_3d,536.806857,39.989197,13.423797,false,false
TradingPartner,P2_BurstLen_W1_7d,1682.853269,56.230674,29.927674,false,true
TradingPartner,P2_JELineBurst_W1,2.454660,0.015594,157.410513,false,false
TradingPartner,P3_Fanout_W1_CostCenter,12.379994,0.153373,80.718085,false,true
TradingPartner,P3_Fanout_W1_GLAccount,6.570619,0.091222,72.029032,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,7.979208,0.228857,34.865471,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.008668,0.008237,1.052406,false,false
TradingPartner,P3_TriangleLogRatio,2.034295,0.025989,78.275053,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
