entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.097656,0.000292,334.094617,false,true
Source,P1_AutocorrGap,0.011469,0.003068,3.738722,false,false
Source,P2_ActiveLifetime_W1,336.748890,22.473735,14.984109,false,false
Source,P2_BurstLen_W1_1d,911.947905,21.901415,41.638767,false,false
Source,P2_BurstLen_W1_3d,1719.721745,108.302099,15.878933,false,false
Source,P2_BurstLen_W1_7d,4178.300705,209.257347,19.967283,false,true
Source,P2_JELineBurst_W1,2.421997,0.015594,155.315904,false,false
Source,P3_Fanout_W1_CostCenter,1.676259,0.250143,6.701214,false,true
Source,P3_Fanout_W1_GLAccount,0.600812,0.120478,4.986915,false,true
Source,P3_Fanout_W1_ProfitCenter,2.558146,0.307349,8.323257,false,true
Source,P3_Fanout_W1_TradingPartner,3.772634,0.574212,6.570105,false,true
Source,P3_ClusteringGap,0.239240,0.006529,36.645221,false,false
Source,P3_TriangleLogRatio,1.256464,0.105774,11.878798,false,false
Source,P4_MeanGap,0.245192,0.065613,3.736967,false,false
TradingPartner,P1_IETD_W1_days,0.338064,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.046995,0.015598,3.012911,false,false
TradingPartner,P2_ActiveLifetime_W1,310.961318,15.472267,20.097981,false,false
TradingPartner,P2_BurstLen_W1_1d,442.368687,56.941181,7.768871,false,false
TradingPartner,P2_BurstLen_W1_3d,736.197707,39.989197,18.409915,false,false
TradingPartner,P2_BurstLen_W1_7d,2027.590530,56.230674,36.058443,false,true
TradingPartner,P2_JELineBurst_W1,2.421997,0.015594,155.315904,false,false
TradingPartner,P3_Fanout_W1_CostCenter,2.684031,0.153373,17.499995,false,true
TradingPartner,P3_Fanout_W1_GLAccount,2.564955,0.091222,28.117780,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,4.331054,0.228857,18.924713,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.004092,0.008237,0.496823,false,false
TradingPartner,P3_TriangleLogRatio,1.756599,0.025989,67.589939,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
