entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.000000,0.000977,0.000000,false,true
Source,P1_AutocorrGap,0.031861,0.000905,35.192793,false,false
Source,P2_ActiveLifetime_W1,0.000000,18.869475,0.000000,false,false
Source,P2_BurstLen_W1_1d,0.000000,11.610582,0.000000,false,false
Source,P2_BurstLen_W1_3d,0.000000,21.878586,0.000000,false,false
Source,P2_BurstLen_W1_7d,0.000000,133.419906,0.000000,false,true
Source,P2_JELineBurst_W1,0.000000,0.019531,0.000000,false,false
Source,P3_Fanout_W1_CostCenter,0.000000,0.236346,0.000000,false,true
Source,P3_Fanout_W1_GLAccount,0.000000,0.099249,0.000000,false,true
Source,P3_Fanout_W1_ProfitCenter,0.000000,1.000000,0.000000,false,true
Source,P3_Fanout_W1_TradingPartner,0.000000,0.648905,0.000000,false,true
Source,P3_ClusteringGap,0.888475,0.000753,1179.950691,false,false
Source,P3_TriangleLogRatio,7.321189,0.086694,84.448396,false,false
Source,P4_MeanGap,0.596154,0.041385,14.405204,false,false
TradingPartner,P1_IETD_W1_days,0.000000,0.000977,0.000000,false,true
TradingPartner,P1_AutocorrGap,0.019735,0.015710,1.256248,false,false
TradingPartner,P2_ActiveLifetime_W1,0.000000,58.890453,0.000000,false,false
TradingPartner,P2_BurstLen_W1_1d,0.000000,34.420219,0.000000,false,false
TradingPartner,P2_BurstLen_W1_3d,0.000000,9.869757,0.000000,false,false
TradingPartner,P2_BurstLen_W1_7d,0.000000,47.469698,0.000000,false,true
TradingPartner,P2_JELineBurst_W1,0.000000,0.019531,0.000000,false,false
TradingPartner,P3_Fanout_W1_CostCenter,0.000000,0.132507,0.000000,false,true
TradingPartner,P3_Fanout_W1_GLAccount,0.000000,0.132531,0.000000,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,0.000000,1.000000,0.000000,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.983747,0.018293,53.778178,false,false
TradingPartner,P3_TriangleLogRatio,8.731498,0.032275,270.530999,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
