entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.313477,0.000977,321.000000,false,true
Source,P1_AutocorrGap,0.209470,0.000905,231.376478,false,false
Source,P2_ActiveLifetime_W1,412.683791,18.869475,21.870443,false,false
Source,P2_BurstLen_W1_1d,866.784933,11.610582,74.654734,false,false
Source,P2_BurstLen_W1_3d,1759.828764,21.878586,80.436130,false,false
Source,P2_BurstLen_W1_7d,4111.097817,133.419906,30.813227,false,true
Source,P2_JELineBurst_W1,1.826942,0.019531,93.539429,false,false
Source,P3_Fanout_W1_CostCenter,58.125845,0.236346,245.935134,false,true
Source,P3_Fanout_W1_GLAccount,66.516205,0.099249,670.195988,false,true
Source,P3_Fanout_W1_ProfitCenter,137.516851,1.000000,137.516851,false,true
Source,P3_Fanout_W1_TradingPartner,3.486141,0.648905,5.372346,false,true
Source,P3_ClusteringGap,0.111257,0.000753,147.756210,false,false
Source,P3_TriangleLogRatio,8.731214,0.086694,100.712753,false,false
Source,P4_MeanGap,0.298538,0.041385,7.213733,false,false
TradingPartner,P1_IETD_W1_days,9.832413,0.000977,10068.391113,false,true
TradingPartner,P1_AutocorrGap,0.061174,0.015710,3.894005,false,false
TradingPartner,P2_ActiveLifetime_W1,427.888562,58.890453,7.265839,false,false
TradingPartner,P2_BurstLen_W1_1d,841.423817,34.420219,24.445626,false,false
TradingPartner,P2_BurstLen_W1_3d,849.378850,9.869757,86.058738,false,false
TradingPartner,P2_BurstLen_W1_7d,1976.129673,47.469698,41.629287,false,true
TradingPartner,P2_JELineBurst_W1,1.826942,0.019531,93.539429,false,false
TradingPartner,P3_Fanout_W1_CostCenter,0.000000,0.132507,0.000000,false,true
TradingPartner,P3_Fanout_W1_GLAccount,9.875709,0.132531,74.516390,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,34.173080,1.000000,34.173080,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.016253,0.018293,0.888489,false,false
TradingPartner,P3_TriangleLogRatio,3.333335,0.032275,103.277868,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
