entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.148438,0.000977,152.000000,false,true
Source,P1_AutocorrGap,0.134962,0.000905,149.076632,false,false
Source,P2_ActiveLifetime_W1,358.317410,18.869475,18.989262,false,false
Source,P2_BurstLen_W1_1d,842.360355,11.610582,72.551086,false,false
Source,P2_BurstLen_W1_3d,1725.799313,21.878586,78.880752,false,false
Source,P2_BurstLen_W1_7d,4044.962426,133.419906,30.317533,false,true
Source,P2_JELineBurst_W1,1.792969,0.019531,91.800000,false,false
Source,P3_Fanout_W1_CostCenter,98.611496,0.236346,417.233185,false,true
Source,P3_Fanout_W1_GLAccount,112.102278,0.099249,1129.506664,false,true
Source,P3_Fanout_W1_ProfitCenter,236.277335,1.000000,236.277335,false,true
Source,P3_Fanout_W1_TradingPartner,3.486141,0.648905,5.372346,false,true
Source,P3_ClusteringGap,0.072825,0.000753,96.715712,false,false
Source,P3_TriangleLogRatio,9.555023,0.086694,110.215219,false,false
Source,P4_MeanGap,0.200431,0.041385,4.843118,false,false
TradingPartner,P1_IETD_W1_days,9.832413,0.000977,10068.391113,false,true
TradingPartner,P1_AutocorrGap,0.061174,0.015710,3.894005,false,false
TradingPartner,P2_ActiveLifetime_W1,427.888562,58.890453,7.265839,false,false
TradingPartner,P2_BurstLen_W1_1d,841.423817,34.420219,24.445626,false,false
TradingPartner,P2_BurstLen_W1_3d,849.378850,9.869757,86.058738,false,false
TradingPartner,P2_BurstLen_W1_7d,1976.129673,47.469698,41.629287,false,true
TradingPartner,P2_JELineBurst_W1,1.792969,0.019531,91.800000,false,false
TradingPartner,P3_Fanout_W1_CostCenter,0.000000,0.132507,0.000000,false,true
TradingPartner,P3_Fanout_W1_GLAccount,9.875709,0.132531,74.516390,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,34.173080,1.000000,34.173080,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.016253,0.018293,0.888489,false,false
TradingPartner,P3_TriangleLogRatio,3.333335,0.032275,103.277868,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
