entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.108398,0.000977,111.000000,false,true
Source,P1_AutocorrGap,0.161834,0.001440,112.386327,false,false
Source,P2_ActiveLifetime_W1,561.592506,31.520000,17.817021,false,false
Source,P2_BurstLen_W1_1d,848.507542,14.418881,58.846974,false,false
Source,P2_BurstLen_W1_3d,1724.888607,23.015516,74.944598,false,false
Source,P2_BurstLen_W1_7d,4069.125282,47.892526,84.963681,false,true
Source,P2_JELineBurst_W1,1.804912,0.013672,132.016392,false,false
Source,P3_Fanout_W1_CostCenter,69.279970,0.220674,313.947081,false,true
Source,P3_Fanout_W1_GLAccount,134.020305,0.115502,1160.325279,false,true
Source,P3_Fanout_W1_ProfitCenter,178.231020,0.000000,100.000000,true,true
Source,P3_Fanout_W1_TradingPartner,3.387975,0.500000,6.775950,false,true
Source,P3_ClusteringGap,0.047970,0.018554,2.585382,false,false
Source,P3_TriangleLogRatio,9.567649,0.022403,427.062183,false,false
Source,P4_MeanGap,0.296994,0.016000,18.562144,false,false
TradingPartner,P1_IETD_W1_days,10.722011,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.069123,0.007475,9.247255,false,false
TradingPartner,P2_ActiveLifetime_W1,397.870195,19.277778,20.638800,false,false
TradingPartner,P2_BurstLen_W1_1d,818.784001,50.582185,16.187201,false,false
TradingPartner,P2_BurstLen_W1_3d,830.818583,28.841769,28.806089,false,false
TradingPartner,P2_BurstLen_W1_7d,1958.308006,19.535439,100.243872,false,true
TradingPartner,P2_JELineBurst_W1,1.804912,0.013672,132.016392,false,false
TradingPartner,P3_Fanout_W1_CostCenter,0.000000,0.072264,0.000000,false,true
TradingPartner,P3_Fanout_W1_GLAccount,9.637131,0.171250,56.275260,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,34.098042,0.000000,100.000000,true,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.014380,0.022953,0.626509,false,false
TradingPartner,P3_TriangleLogRatio,3.343932,0.086660,38.586610,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
