entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.009766,0.000977,10.000000,false,true
Source,P1_AutocorrGap,0.058551,0.001440,40.660671,false,false
Source,P2_ActiveLifetime_W1,350.254093,31.520000,11.112122,false,false
Source,P2_BurstLen_W1_1d,667.711933,14.418881,46.308165,false,false
Source,P2_BurstLen_W1_3d,1350.334048,23.015516,58.670596,false,false
Source,P2_BurstLen_W1_7d,3363.203928,47.892526,70.223983,false,true
Source,P2_JELineBurst_W1,1.802734,0.013672,131.857143,false,false
Source,P3_Fanout_W1_CostCenter,327.225022,0.220674,1482.843315,false,true
Source,P3_Fanout_W1_GLAccount,353.941097,0.115502,3064.362537,false,true
Source,P3_Fanout_W1_ProfitCenter,488.424392,0.000000,100.000000,true,true
Source,P3_Fanout_W1_TradingPartner,3.522063,0.500000,7.044126,false,true
Source,P3_ClusteringGap,0.106880,0.018554,5.760389,false,false
Source,P3_TriangleLogRatio,9.776478,0.022403,436.383503,false,false
Source,P4_MeanGap,0.219522,0.016000,13.720114,false,false
TradingPartner,P1_IETD_W1_days,9.832413,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.038968,0.007475,5.213149,false,false
TradingPartner,P2_ActiveLifetime_W1,407.858223,19.277778,21.156911,false,false
TradingPartner,P2_BurstLen_W1_1d,818.818738,50.582185,16.187888,false,false
TradingPartner,P2_BurstLen_W1_3d,830.723219,28.841769,28.802783,false,false
TradingPartner,P2_BurstLen_W1_7d,1958.198025,19.535439,100.238242,false,true
TradingPartner,P2_JELineBurst_W1,1.802734,0.013672,131.857143,false,false
TradingPartner,P3_Fanout_W1_CostCenter,0.000000,0.072264,0.000000,false,true
TradingPartner,P3_Fanout_W1_GLAccount,9.887131,0.171250,57.735115,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,34.173080,0.000000,100.000000,true,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.014380,0.022953,0.626509,false,false
TradingPartner,P3_TriangleLogRatio,3.343932,0.086660,38.586610,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
